"data";"valor"
"01/11/2014";"0,28"
"01/12/2014";"0,62"
"01/01/2015";"0,31"
"01/02/2015";"0,59"
"01/03/2015";"0,57"
"01/04/2015";"0,63"
"01/05/2015";"0,79"
"01/06/2015";"0,68"
"01/07/2015";"0,50"
"01/08/2015";"0,42"
"01/09/2015";"0,46"
"01/10/2015";"0,99"
"01/11/2015";"1,14"
"01/12/2015";"0,91"
"01/01/2016";"0,92"
"01/02/2016";"1,06"
"01/03/2016";"0,89"
"01/04/2016";"0,48"
"01/05/2016";"0,71"
"01/06/2016";"0,56"
"01/07/2016";"0,93"
"01/08/2016";"0,54"
"01/09/2016";"-0,04"
"01/10/2016";"0,08"
"01/11/2016";"0,12"
"01/12/2016";"0,32"
"01/01/2017";"0,24"
"01/02/2017";"-0,12"
"01/03/2017";"-0,10"
"01/04/2017";"0,01"
"01/05/2017";"0,02"
"01/06/2017";"-0,24"
"01/07/2017";"-0,39"
"01/08/2017";"-0,34"
"01/09/2017";"0,00"
"01/10/2017";"0,03"
"01/11/2017";"-0,13"
"01/12/2017";"0,49"
"01/01/2018";"0,01"
"01/02/2018";"-0,20"
"01/03/2018";"-0,13"
"01/04/2018";"-0,01"
"01/05/2018";"0,02"
"01/06/2018";"1,39"
"01/07/2018";"0,45"
"01/08/2018";"0,01"
"01/09/2018";"0,20"
"01/10/2018";"0,44"
"01/11/2018";"-0,61"
"01/12/2018";"0,13"
"01/01/2019";"0,12"
"01/02/2019";"0,02"
"01/03/2019";"0,51"
"01/04/2019";"0,36"
"01/05/2019";"0,14"
"01/06/2019";"0,11"
"01/07/2019";"-0,17"
"01/08/2019";"0,09"
"01/09/2019";"0,14"
"01/10/2019";"0,36"
